id,general_name,certificate_owner,brand_owner,consumer_price,unit_price,irc,gtin,emergency_licence,license_expire_date,response_code
2,"METHYLPREDNISOLONE ACETATE INJECTION, SUSPENSION PARENTERAL 40 mg/1mL 1MILLILITER",کارخانجات دارو پخش,کارخانجات دارو پخش,159700,159700,2903849236347759,06260132425704,,1406/11/08,200
3,"METHYLPREDNISOLONE ACETATE INJECTION, SUSPENSION PARENTERAL 40 mg/1mL 1MILLILITER",داروسازی کاسپین تأمین,داروسازی کاسپین تأمین,159700,159700,3498356211236794,06260157711400,,1403/05/05,200
4,"METHYLPREDNISOLONE ACETATE INJECTION, SUSPENSION PARENTERAL 40 mg/1mL 1MILLILITER",داروسازی ابوریحان,داروسازی ابوریحان,159700,159700,4451367237781436,06260164607277,,1405/09/03,200
5,"METHYLPREDNISOLONE ACETATE INJECTION, SUSPENSION PARENTERAL 40 mg/1mL 1MILLILITER",ایران هورمون,ایران هورمون,41000,41000,6308151137028742,,,,200
6,"METHYLPREDNISOLONE ACETATE INJECTION, SUSPENSION PARENTERAL 40 mg/1mL 1MILLILITER",داروسازی کاسپین تأمین,داروسازی کاسپین تأمین,41000,41000,3531607261627993,06260157711400,,,200
7,"METHYLPREDNISOLONE ACETATE INJECTION, SUSPENSION PARENTERAL 40 mg/1mL 1MILLILITER",ایران هورمون,ایران هورمون,159700,159700,2224161902609820,06260155200067,,1404/09/16,200
8,"METHYLPREDNISOLONE ACETATE INJECTION, SUSPENSION PARENTERAL 40 mg/1mL 1MILLILITER",داروسازی رها اصفهان,داروسازی رها اصفهان,410000,41000,5474699731947030,06260616501429,,,200
9,"METHYLPREDNISOLONE ACETATE INJECTION, SUSPENSION PARENTERAL 40 mg/1mL 1MILLILITER",داروسازی ابوریحان,داروسازی ابوریحان,-,41000,2081756776753774,,,,200
10,"METHYLPREDNISOLONE ACETATE INJECTION, SUSPENSION PARENTERAL 40 mg/1mL 1MILLILITER",رویان دارو,رویان دارو,-,41000,6061108417445352,06260595300327,,,200
11,METHYLTESTOSTERONE TABLET ORAL 25 mg,داروسازی ابوریحان,داروسازی ابوریحان,-,3500,6074778830313717,,,,200
12,METHYLTESTOSTERONE TABLET ORAL 25 mg,داروسازی ابوریحان,داروسازی ابوریحان,1394700,13947,9503689522584636,06260164645446,,1404/01/21,200
13,METOCLOPRAMIDE (AS HYDROCHLORIDE) INJECTION PARENTERAL 5 mg/1mL 2MILLILITER,داروسازی تهران شیمی,داروسازی تهران شیمی,-,11000,0441770222995955,,,,200
14,METOCLOPRAMIDE (AS HYDROCHLORIDE) INJECTION PARENTERAL 5 mg/1mL 2MILLILITER,دارو سازی اسوه,دارو سازی اسوه,1100000,11000,5753133301504370,06260174440727,,,200
15,METOCLOPRAMIDE (AS HYDROCHLORIDE) INJECTION PARENTERAL 5 mg/1mL 2MILLILITER,لابراتوار داروسازی و بهداشتی شفا,لابراتوار داروسازی و بهداشتی شفا,-,11000,7523383870638940,06260343680657,,,200
16,METOCLOPRAMIDE (AS HYDROCHLORIDE) INJECTION PARENTERAL 5 mg/1mL 2MILLILITER,داروسازی کاسپین تأمین,داروسازی کاسپین تأمین,-,11000,3647795622743492,,,,200
17,METOCLOPRAMIDE (AS HYDROCHLORIDE) INJECTION PARENTERAL 5 mg/1mL 2MILLILITER,داروسازی کاسپین تأمین,داروسازی کاسپین تأمین,570000,57000,9034837733351950,06260157732399,,1404/05/25,200
18,METOCLOPRAMIDE (AS HYDROCHLORIDE) INJECTION PARENTERAL 5 mg/1mL 2MILLILITER,صنعتی کیمیدارو,صنعتی کیمیدارو,110000,11000,8173823223607328,06260182922512,,1398/04/15,200
19,METOCLOPRAMIDE (AS HYDROCHLORIDE) INJECTION PARENTERAL 5 mg/1mL 2MILLILITER,داروسازی زهراوی,داروسازی زهراوی,110000,11000,0745719345319501,06260155900196,,,200
20,METOCLOPRAMIDE (AS HYDROCHLORIDE) INJECTION PARENTERAL 5 mg/1mL 2MILLILITER,داروسازی تهران شیمی,داروسازی تهران شیمی,570000,57000,0109128864737442,06260136650461,,1404/03/25,200
21,METOCLOPRAMIDE (AS HYDROCHLORIDE) INJECTION PARENTERAL 5 mg/1mL 2MILLILITER,کارخانجات دارو پخش,کارخانجات دارو پخش,570000,57000,1998790027762080,06260132426749,,1406/05/09,200
